title,content,difficulty,num_of_lines,code_length,cyclomatic_complexity,readability
Fibonacci Series,"function fibonacci(n) {
    const seq = [0, 1];
    for (let i = 2; i < n; i++) seq.push(seq[i-1] + seq[i-2]);
    return seq.slice(0, n);
}",Beginner,5,140,2,9.4
Palindrome Check,"function isPalindrome(s) {
    const clean = s.toLowerCase().replace(/[^a-z0-9]/g, '');
    return clean === clean.split('').reverse().join('');
}",Beginner,4,146,1,9.7
FizzBuzz,"function fizzBuzz(n) {
    return Array.from({length: n}, (_, i) => {
        const x = i + 1;
        if (x % 15 === 0) return 'FizzBuzz';
        if (x % 3 === 0) return 'Fizz';
        if (x % 5 === 0) return 'Buzz';
        return x;
    });
}",Beginner,9,247,4,8.8
Prime Check,"function isPrime(n) {
    if (n < 2) return false;
    for (let i = 2; i <= Math.sqrt(n); i++)
        if (n % i === 0) return false;
    return true;
}",Beginner,6,152,4,8.8
Chunk Array,"function chunkArray(arr, size) {
    const result = [];
    for (let i = 0; i < arr.length; i += size)
        result.push(arr.slice(i, i + size));
    return result;
}",Beginner,6,168,2,9.4
Anagram Check,"function isAnagram(a, b) {
    const sort = s => s.toLowerCase().split('').sort().join('');
    return sort(a) === sort(b);
}",Beginner,4,125,1,9.7
Two Sum,"function twoSum(nums, target) {
    const map = new Map();
    for (let i = 0; i < nums.length; i++) {
        const comp = target - nums[i];
        if (map.has(comp)) return [map.get(comp), i];
        map.set(nums[i], i);
    }
    return [];
}",Intermediate,9,247,3,9.1
Binary Search,"function binarySearch(arr, target) {
    let lo = 0, hi = arr.length - 1;
    while (lo <= hi) {
        const mid = Math.floor((lo + hi) / 2);
        if (arr[mid] === target) return mid;
        arr[mid] < target ? lo = mid + 1 : hi = mid - 1;
    }
    return -1;
}",Intermediate,9,268,3,9.1
Array Flatten,"function deepFlatten(arr) {
    return arr.reduce((flat, item) =>
        flat.concat(Array.isArray(item) ? deepFlatten(item) : item), []);
}",Intermediate,4,141,1,9.7
Debounce Function,"function debounce(fn, delay) {
    let timer;
    return function (...args) {
        clearTimeout(timer);
        timer = setTimeout(() => fn.apply(this, args), delay);
    };
}",Intermediate,7,178,1,9.7
Throttle Function,"function throttle(fn, limit) {
    let lastCall = 0;
    return function (...args) {
        const now = Date.now();
        if (now - lastCall >= limit) {
            lastCall = now;
            return fn.apply(this, args);
        }
    };
}",Intermediate,10,243,2,9.4
Memoize Function,"function memoize(fn) {
    const cache = new Map();
    return function (...args) {
        const key = JSON.stringify(args);
        if (cache.has(key)) return cache.get(key);
        const result = fn.apply(this, args);
        cache.set(key, result);
        return result;
    };
}",Intermediate,10,285,2,9.4
Deep Clone Object,"function deepClone(obj) {
    if (obj === null || typeof obj !== 'object') return obj;
    if (Array.isArray(obj)) return obj.map(deepClone);
    return Object.fromEntries(
        Object.entries(obj).map(([k, v]) => [k, deepClone(v)])
    );
}",Intermediate,7,244,3,9.1
Promise Chain,"function fetchUserData(userId) {
    return fetch(`/api/users/${userId}`)
        .then(res => res.json())
        .then(user => fetch(`/api/posts?userId=${user.id}`))
        .then(res => res.json())
        .catch(err => { console.error('Error:', err); throw err; });
}",Intermediate,7,271,1,9.7
Bubble Sort,"function bubbleSort(arr) {
    const a = [...arr];
    for (let i = 0; i < a.length - 1; i++)
        for (let j = 0; j < a.length - i - 1; j++)
            if (a[j] > a[j + 1]) [a[j], a[j+1]] = [a[j+1], a[j]];
    return a;
}",Intermediate,7,226,4,8.8
Valid Parentheses,"function isValid(s) {
    const stack = [], map = { ')': '(', ']': '[', '}': '{' };
    for (const c of s) {
        if ('([{'.includes(c)) stack.push(c);
        else if (stack.pop() !== map[c]) return false;
    }
    return stack.length === 0;
}",Intermediate,8,248,5,8.5
Group By Category,"function groupBy(arr, key) {
    return arr.reduce((acc, item) => {
        const group = item[key];
        acc[group] = acc[group] || [];
        acc[group].push(item);
        return acc;
    }, {});
}",Intermediate,8,204,1,9.7
Max Subarray Kadane,"function maxSubArray(nums) {
    let maxSum = nums[0], cur = nums[0];
    for (let i = 1; i < nums.length; i++) {
        cur = Math.max(nums[i], cur + nums[i]);
        maxSum = Math.max(maxSum, cur);
    }
    return maxSum;
}",Intermediate,8,228,2,9.4
Flatten Object,"function flattenObject(obj, prefix = '') {
    return Object.entries(obj).reduce((acc, [key, val]) => {
        const k = prefix ? `${prefix}.${key}` : key;
        if (typeof val === 'object' && val !== null && !Array.isArray(val))
            Object.assign(acc, flattenObject(val, k));
        else acc[k] = val;
        return acc;
    }, {});
}",Intermediate,9,348,3,9.1
Linked List JS,"class LinkedList {
    constructor() { this.head = null; }
    append(val) {
        const node = { val, next: null };
        if (!this.head) { this.head = node; return; }
        let cur = this.head;
        while (cur.next) cur = cur.next;
        cur.next = node;
    }
    toArray() {
        const result = []; let cur = this.head;
        while (cur) { result.push(cur.val); cur = cur.next; }
        return result;
    }
}",Intermediate,15,430,4,8.8
Intersection of Arrays,"function intersection(a, b) {
    const setB = new Set(b);
    return [...new Set(a.filter(x => setB.has(x)))];
}",Intermediate,4,113,1,9.7
Rotate Array,"function rotateArray(arr, k) {
    const n = arr.length; k = k % n;
    return [...arr.slice(n - k), ...arr.slice(0, n - k)];
}",Intermediate,4,127,1,9.7
String Compression,"function compress(str) {
    let result = '', i = 0;
    while (i < str.length) {
        const c = str[i]; let count = 0;
        while (i < str.length && str[i] === c) { i++; count++; }
        result += count > 1 ? c + count : c;
    }
    return result.length < str.length ? result : str;
}",Intermediate,9,294,3,9.1
Async Retry,"async function retry(fn, retries = 3, delay = 1000) {
    for (let i = 0; i < retries; i++) {
        try { return await fn(); }
        catch (err) {
            if (i === retries - 1) throw err;
            await new Promise(res => setTimeout(res, delay * Math.pow(2, i)));
        }
    }
}",Intermediate,9,293,3,9.1
Merge Sort,"function mergeSort(arr) {
    if (arr.length <= 1) return arr;
    const mid = Math.floor(arr.length / 2);
    const left = mergeSort(arr.slice(0, mid));
    const right = mergeSort(arr.slice(mid));
    const result = [];
    let i = 0, j = 0;
    while (i < left.length && j < right.length)
        result.push(left[i] <= right[j] ? left[i++] : right[j++]);
    return [...result, ...left.slice(i), ...right.slice(j)];
}",Advanced,11,421,3,9.1
Quick Sort,"function quickSort(arr) {
    if (arr.length <= 1) return arr;
    const pivot = arr[Math.floor(arr.length / 2)];
    const left  = arr.filter(x => x < pivot);
    const mid   = arr.filter(x => x === pivot);
    const right = arr.filter(x => x > pivot);
    return [...quickSort(left), ...mid, ...quickSort(right)];
}",Advanced,8,317,2,9.4
Curry Function,"function curry(fn) {
    return function curried(...args) {
        if (args.length >= fn.length)
            return fn.apply(this, args);
        return function (...moreArgs) {
            return curried.apply(this, [...args, ...moreArgs]);
        };
    };
}",Advanced,9,262,2,9.4
Event Emitter,"class EventEmitter {
    constructor() { this.events = {}; }
    on(event, listener) {
        (this.events[event] = this.events[event] || []).push(listener);
        return this;
    }
    off(event, listener) {
        this.events[event] = (this.events[event] || []).filter(l => l !== listener);
        return this;
    }
    emit(event, ...args) {
        (this.events[event] || []).forEach(l => l(...args));
        return this;
    }
    once(event, listener) {
        const wrapper = (...args) => { listener(...args); this.off(event, wrapper); };
        return this.on(event, wrapper);
    }
}",Advanced,19,602,2,9.4
LRU Cache,"class LRUCache {
    constructor(capacity) {
        this.cap = capacity;
        this.cache = new Map();
    }
    get(key) {
        if (!this.cache.has(key)) return -1;
        const val = this.cache.get(key);
        this.cache.delete(key); this.cache.set(key, val);
        return val;
    }
    put(key, value) {
        this.cache.delete(key);
        this.cache.set(key, value);
        if (this.cache.size > this.cap)
            this.cache.delete(this.cache.keys().next().value);
    }
}",Advanced,18,497,3,8.9
Observer Pattern,"class Subject {
    constructor() { this.observers = []; this.state = null; }
    subscribe(observer) { this.observers.push(observer); }
    unsubscribe(observer) { this.observers = this.observers.filter(o => o !== observer); }
    setState(state) {
        this.state = state;
        this.observers.forEach(o => o.update(this.state));
    }
}
class Observer {
    constructor(name) { this.name = name; }
    update(state) { console.log(`${this.name} received: ${JSON.stringify(state)}`); }
}",Advanced,13,493,2,9.2
Trie Implementation,"class TrieNode {
    constructor() { this.children = {}; this.isEnd = false; }
}
class Trie {
    constructor() { this.root = new TrieNode(); }
    insert(word) {
        let node = this.root;
        for (const c of word) {
            node.children[c] = node.children[c] || new TrieNode();
            node = node.children[c];
        }
        node.isEnd = true;
    }
    search(word) {
        let node = this.root;
        for (const c of word) {
            if (!node.children[c]) return false;
            node = node.children[c];
        }
        return node.isEnd;
    }
    startsWith(prefix) {
        let node = this.root;
        for (const c of prefix) {
            if (!node.children[c]) return false;
            node = node.children[c];
        }
        return true;
    }
}",Advanced,30,795,6,8.1
Async Queue,"class AsyncQueue {
    constructor(concurrency = 1) {
        this.concurrency = concurrency; this.running = 0; this.queue = [];
    }
    add(task) {
        return new Promise((resolve, reject) => {
            this.queue.push({ task, resolve, reject }); this.run();
        });
    }
    async run() {
        if (this.running >= this.concurrency || this.queue.length === 0) return;
        this.running++;
        const { task, resolve, reject } = this.queue.shift();
        try { resolve(await task()); } catch (e) { reject(e); } finally {
            this.running--; this.run();
        }
    }
}",Advanced,18,603,2,9.0
Binary Search Tree,"class BST {
    constructor() { this.root = null; }
    insert(val) { this.root = this._insert(this.root, val); }
    _insert(node, val) {
        if (!node) return { val, left: null, right: null };
        if (val < node.val) node.left = this._insert(node.left, val);
        else if (val > node.val) node.right = this._insert(node.right, val);
        return node;
    }
    inorder() { const res = []; this._inorder(this.root, res); return res; }
    _inorder(node, res) {
        if (!node) return;
        this._inorder(node.left, res); res.push(node.val); this._inorder(node.right, res);
    }
}",Advanced,15,601,6,8.2
Proxy Validator,"function createValidator(target, validator) {
    return new Proxy(target, {
        set(obj, prop, value) {
            if (validator[prop] && !validator[prop](value))
                throw new TypeError(`Invalid value for ${prop}: ${value}`);
            obj[prop] = value; return true;
        }
    });
}
// Usage: const person = createValidator({}, { age: v => v >= 0 && v <= 150 });",Advanced,10,388,3,9.1
Reactive Store,"function createStore(initialState) {
    let state = { ...initialState };
    const subscribers = new Set();
    return {
        getState: () => ({ ...state }),
        setState(partial) {
            state = { ...state, ...partial };
            subscribers.forEach(fn => fn(state));
        },
        subscribe(fn) { subscribers.add(fn); return () => subscribers.delete(fn); }
    };
}",Advanced,12,389,2,9.4
Rate Limiter,"function rateLimiter(fn, maxCalls, windowMs) {
    const calls = [];
    return function (...args) {
        const now = Date.now();
        while (calls.length && calls[0] < now - windowMs) calls.shift();
        if (calls.length >= maxCalls) throw new Error('Rate limit exceeded');
        calls.push(now);
        return fn.apply(this, args);
    };
}",Advanced,10,354,3,8.9
