Unnamed: 0,problem_title,python_solutions,difficulty,num_of_lines,code_length,comments,cyclomatic_complexity,indents,loop_count,line_length,identifiers,readability
0.0,two sum,"class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
         left = 0
         right = len(nums)
         while left < right:
             if target-nums[left] in nums and nums.index(target-nums[left]) != left:
                 return [left,nums.index(target-nums[left])]
             else:
                 left+=1",Easy,8,344,0.0,2,3.0,2.0,43.0,16.0,4.23
2.0,longest substring without repeating characters,"class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        i, j = 0, 0
        n = len(s)
        frequencyArray = [0]*(5 * 10**4)
        maxSize = 0
        while j < n:
            frequencyArray[ord(s[j]) - ord('a')] += 1
            mapSize = (5*10**4) - frequencyArray.count(0)
            
            if mapSize == j - i + 1:
                maxSize = max(maxSize, j - i + 1)
                j += 1
            
            elif mapSize < j - i + 1:
                while mapSize < j - i + 1:
                    frequencyArray[ord(s[i]) - ord('a')] -= 1
                    mapSize = (5*10**4) - frequencyArray.count(0)
                    i += 1
                j += 1
        return maxSize",Medium,20,721,0.0,4,4.0,4.0,36.05,30.0,3.2755
3.0,median of two sorted arrays,"class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        sum_list = nums1 + nums2
        sum_list.sort()
        sum_size = len(sum_list)

        if sum_size % 2 == 0:
            x = (sum_list[int(sum_size/2)] + sum_list[int((sum_size/2) - 1)]) / 2
        else:
            x = sum_list[int(sum_size/2)]

        return x",Hard,11,375,0.0,1,2.0,1.0,34.09090909090909,16.0,5.151818181818182
4.0,longest palindromic substring,"class Solution:
    def longestPalindrome(self, s: str) -> str:
        self.res = """";
        self.resLen = 0;
        for i in range(len(s)):
            self.getPalindrome(s,i,i);
            self.getPalindrome(s,i,i+1);
        return self.res;
    def getPalindrome(self,s,l,r):
        while l >= 0 and r < len(s) and s[l] == s[r]:
            if (r - l + 1) > self.resLen:
                self.res = s[l:r+1];
                self.resLen = len(self.res);
            l -= 1;
            r += 1;",Medium,14,501,0.0,3,3.0,3.0,35.785714285714285,30.0,3.419285714285716
5.0,zigzag conversion,"class Solution:
    def convert(self, s: str, numRows: int) -> str:
        if numRows == 1:
            return s
        a = ['' for i in range(numRows)]
        c = numRows
        inc = False
        for i in s:
            a[numRows-c] += i # If numRows = 3, the range of numRows-c is [0, 2] as c is in the range of [1, 3]
            if not inc:
                c -= 1
                if c == 1:
                    inc = True
            else:
                c += 1
                if c == numRows:
                    inc = False
        return ''.join(a)",Medium,17,563,1.0,4,3.0,7.0,33.11764705882353,34.0,3.239411764705882
6.0,reverse integer,"class Solution:
    def reverse(self, x: int) -> int:
        reverse = 0
        num, x = x, abs(x)
        while x:
            last = x % 10
            x //= 10
            reverse = reverse * 10 + last
            if not (reverse <= 2 ** 31 and reverse >= -2 ** 31):
                return 0
            
        return reverse if num > 0 else -reverse",Medium,11,357,0.0,1,3.0,3.0,32.45454545454545,19.0,4.939090909090909
7.0,string to integer (atoi),"class Solution:
    def myAtoi(self, s: str) -> int:
        s= s.strip("" "")
        if len(s) == 0:return 0
        s = list(s)
        sign = 1
        
        if s[0] == ""-"":
            sign = -1
            s.pop(0) # Removing the sign from the first term 
        elif s[0] == ""+"":
            sign = 1
            s.pop(0)
        else:
            pass
        
        if len(s) > 2 and not s[0].isdigit():
            return 0
        _ = ""0""
        
        for i in s:
            if i.isdigit():
                _+=i
            else:
                break
                
        return_val = int(_) * sign
        
        if return_val < -2147483648:
            return -2147483648
        
        elif return_val > 2147483647:
            return 2147483647
        
        else:
            return return_val",Medium,35,830,1.0,3,3.0,8.0,23.714285714285715,36.0,3.9457142857142857
8.0,palindrome number,"class Solution:
    def isPalindrome(self, x: int) -> bool:
        y = list(str(x))
        return y== list(reversed(y))",Easy,3,121,0.0,0,2.0,0.0,40.333333333333336,9.0,5.35
9.0,regular expression matching,"class Solution:
    @lru_cache
    def isMatch(self, s, p):
        if not p:   return not s
        if p[-1] == '*':
            return (self.isMatch(s, p[:-2])) or (s and (s[-1] == p[-2] or p[-2] == '.') and self.isMatch(s[:-1], p))
        return s and (p[-1] == s[-1] or p[-1] == '.') and self.isMatch(s[:-1], p[:-1])",Hard,6,321,0.0,0,2.0,2.0,53.5,28.0,2.265
10.0,container with most water,"class Solution:
    def maxArea(self, height: List[int]) -> int:
        """"""Uses two pointers. 
        Left pointer starts with 0th index and
        Right pointer starts at last index.
        Calculate the area and update if greater than
        area variable.
        If heigh[right] is greater than heigh[left], increment
        left, otherwise decrement right.
        """"""
        area = 0
        left = 0
        right = len(height) -1
        while left < right:
            side = min(height[left], height[right])
            width = right - left
            area = max(side * width, area)
            if height[right] > height[left]:
                left += 1
            else:
                right -= 1
        return area",Medium,21,736,0.0,2,3.0,4.0,35.04761904761905,22.0,4.345714285714286
11.0,integer to roman,"class Solution:
    def intToRoman(self, num: int) -> str:
        """"""
        Symbol       Value
        I             1     ones
        V             5     ones
        X             10    tens
        L             50    tens
        C             100   hundreds
        D             500   hundreds
        M             1000  thousands
        """"""
        # mode the number to get digits
        # based on the digits, append the letter to the ans
        # reverse the ans or use dequeue()
        letters = [[""I"", ""IV"", ""V"", ""IX""],
                  [""X"", ""XL"", ""L"", ""XC""],
                  [""C"", ""CD"", ""D"", ""CM""],
                  [""M"","""","""",""""]]
        place = 0 # value place. 0-> ones, 1->tens
        ans = deque()
        while num > 0:
            digit = num % 10            
            num //= 10
            lt = letters[place]
            if digit < 4:
                ans.appendleft(lt[0]*digit)
            elif digit == 4:
                ans.appendleft(lt[1])
            elif digit < 9:
                ans.appendleft(lt[2]+lt[0]*(digit-5))      
            elif digit == 9:
                ans.appendleft(lt[3])
            place += 1
        return """".join(ans)",Medium,34,1192,4.0,5,4.0,5.0,35.05882352941177,45.0,1.9647058823529413
